"id","description","threat_event"
"__export__.adversarial_threat_events_109_0d990657","Adversary circumvents or defeats isolation mechanisms in a multi-tenant environment (e.g., in a cloud computing environment) to observe, corrupt, or deny service to hosted services and information/data.","Violate isolation in multi-tenant environment."
"__export__.adversarial_threat_events_110_32bb654f","Adversary obtains physical access to organizational information systems and makes modifications","Compromise critical information systems via physical  access"
"__export__.adversarial_threat_events_111_0eac8d2f","Adversary installs malware on information systems or devices while the 
systems/devices are external to organizations for purposes of subsequently infecting organizations when reconnected","Compromise information systems or devices used  externally and reintroduced into the enterprise."
"__export__.adversarial_threat_events_112_f159a3a2","Adversary inserts malware or otherwise corrupts critical internal organizational information systems","Compromise software of organizational critical  information systems."
"__export__.adversarial_threat_events_113_99e50d96","Adversary implants malware into internal organizational information systems, where the malware over time can identify and then exfiltrate valuable information. ","Compromise organizational information systems to  facilitate exfiltration of data/information"
"__export__.adversarial_threat_events_114_030fd90e","Adversary compromises the integrity of mission-critical information, thus preventing or impeding ability of organizations to which information is supplied, from carrying out operations. ","Compromise mission-critical information."
"__export__.adversarial_threat_events_115_817a5f9a","Adversary compromises the design, manufacture, and/or distribution of critical information system components at selected suppliers","Compromise design, manufacture, and/or distribution of  information system components (including hardware,  software, and firmware)."
"__export__.adversarial_threat_events_116_c9f75c22","Adversary takes advantage of communications that are either unencrypted or use weak encryption (e.g., encryption containing publically known flaws), targets those communications, and gains access to transmitted information and channels","Conduct communications interception attacks."
"__export__.adversarial_threat_events_117_81b02864","Adversary takes measures to interfere with wireless communications so as to impede or prevent communications from reaching intended recipients","Conduct wireless jamming attacks."
"__export__.adversarial_threat_events_118_c7ae8c0e","Adversary conducts attacks using ports, protocols, and services for ingress and egress that are not authorized for use by organizations. ","Conduct attacks using unauthorized ports, protocols and  services"
"__export__.adversarial_threat_events_119_083aaf9b","Adversary makes use of permitted information flows (e.g., email communication, removable storage) to compromise internal information systems, which allows adversary to obtain and exfiltrate sensitive information through perimeters.","Conduct attacks leveraging traffic/data movement  allowed across perimeter."
"__export__.adversarial_threat_events_120_7831fc5c","Adversary attempts to make an Internet-accessible resource unavailable to intended users, or prevent the resource from functioning efficiently or at all, temporarily or indefinitely.","Conduct simple Denial of Service (DoS) attack."
"__export__.adversarial_threat_events_121_41757691","Adversary uses multiple compromised information systems to attack a single target, thereby causing denial of service for users of the targeted information systems. ","Conduct Distributed Denial of Service (DDoS) attacks"
"__export__.adversarial_threat_events_122_64c9aa59","Adversary targets DoS attacks to critical information systems, components, or supporting infrastructures, based on adversary knowledge of dependencies","Conduct targeted Denial of Service (DoS) attacks"
"__export__.adversarial_threat_events_123_f5cc1332","Adversary conducts a physical attack on organizational facilities (e.g., sets a fire)","Conduct physical attacks on organizational facilities"
"__export__.adversarial_threat_events_124_ad37d632","Adversary conducts a physical attack on one or more infrastructures supporting organizational facilities (e.g., breaks a water main, cuts a power line).","Conduct physical attacks on infrastructures supporting  organizational facilities."
"__export__.adversarial_threat_events_125_8a38b97d","Adversary conducts a cyber-physical attack on organizational facilities (e.g., remotely changes HVAC settings)","Conduct cyber-physical attacks on organizational  facilities."
"__export__.adversarial_threat_events_126_b1a19a28","Adversary obtains data used and then deleted by organizational processes running in a cloud environment","Conduct data scavenging attacks in a cloud  environment"
"__export__.adversarial_threat_events_127_2dd74b5c","Adversary attempts to gain access to organizational information systems by random or systematic guessing of passwords, possibly supported by password cracking utilities","Conduct brute force login attempts/password guessing  attacks"
"__export__.adversarial_threat_events_128_230bbf9f","Adversary employs attacks that exploit as yet unpublicized vulnerabilities. Attacks are not based on any adversary insights into specific vulnerabilities of organizations","Conduct nontargeted zero-day attacks"
"__export__.adversarial_threat_events_129_baccfdd2","Adversary takes control of (hijacks) already established, legitimate information system sessions between organizations and external entities (e.g., users connecting from off-site locations)","Conduct externally-based session hijacking."
"__export__.adversarial_threat_events_130_ebc5b098","Adversary places an entity within organizations in order to gain access to organizational information systems or networks for the express purpose of taking control (hijacking) an already established, legitimate session either between organizations and external entities (e.g., users connecting from remote locations) or between two locations within internal networks","Conduct internally-based session hijacking."
"__export__.adversarial_threat_events_131_7f61c6c4","Adversary, operating outside organizational systems, intercepts/eavesdrops on sessions between organizational and external systems. Adversary then relays messages between organizational and external systems, making them believe that they are talking directly to each other over a private connection, when in fact the entire communication is controlled by the adversary. Such attacks are of particular concern for organizational use of community, hybrid, and public clouds","Conduct externally-based network traffic modification  (man in the middle) attacks"
"__export__.adversarial_threat_events_132_04334a4e","Adversary operating within the organizational infrastructure intercepts and corrupts data sessions","Conduct internally-based network traffic modification  (man in the middle) attacks"
"__export__.adversarial_threat_events_133_ce30681a","Externally placed adversary takes actions (e.g., using email, phone) with the intent of persuading or otherwise tricking individuals within organizations into revealing critical/sensitive information (e.g., personally identifiable information). ","Conduct outsider-based social engineering to obtain  information"
"__export__.adversarial_threat_events_134_ed2e2bb4","Internally placed adversary takes actions (e.g., using email, phone) so that individuals within organizations reveal critical/sensitive information (e.g., mission information)","Conduct insider-based social engineering to obtain  information."
"__export__.adversarial_threat_events_135_88f57c51","Adversary targets key organizational employees by placing malware on their personally owned information systems and devices (e.g., laptop/notebook computers, personal digital assistants, smart phones). The intent is to take advantage of any instances where employees use personal information systems or devices to handle critical/sensitive information.","Conduct attacks targeting and compromising personal  devices of critical employees"
"__export__.adversarial_threat_events_136_4cc7285e","Adversary targets and compromises the operation of software (e.g., through malware injections), firmware, and hardware that performs critical functions for organizations. This is largely accomplished as supply chain attacks on both commercial off-the-shelf and custom information systems and components. ","Conduct supply chain attacks targeting and exploiting  critical hardware, software, or firmware."
"__export__.adversarial_threat_events_137_6f7a2d52","Adversary with access to exposed wired or wireless data channels that organizations (or organizational personnel) use to transmit information (e.g., kiosks, public wireless networks) intercepts communications. ","Obtain sensitive information through network sniffing of  external networks."
"__export__.adversarial_threat_events_138_79e3e1d6","Adversary directs malware on organizational systems to locate and surreptitiously transmit sensitive information","Obtain sensitive information via exfiltration."
"__export__.adversarial_threat_events_139_71612aae","Adversary directs malware on organizational systems to impair the correct and timely support of organizational mission/business functions. ","Cause degradation or denial of attacker-selected  services or capabilities."
"__export__.adversarial_threat_events_140_e0fa26cd","Adversary destroys or causes deterioration of critical information system components to impede or eliminate organizational ability to carry out missions or business functions. Detection of this action is not a concern. ","Cause deterioration/destruction of critical information  system components and functions"
"__export__.adversarial_threat_events_141_eb37bcdd","Adversary vandalizes, or otherwise makes unauthorized changes to, organizational websites or data on websites.","Cause integrity loss by creating, deleting, and/or  modifying data on publicly accessible information  systems (e.g., web defacement)"
"__export__.adversarial_threat_events_142_b0d3b74b","Adversary implants corrupted and incorrect data in critical data, resulting in suboptimal actions or loss of confidence in organizational data/services. ","Cause integrity loss by polluting or corrupting critical data"
"__export__.adversarial_threat_events_143_0cf05550","Adversary injects false but believable data into organizational information systems, resulting in suboptimal actions or loss of confidence in organiz","Cause integrity loss by injecting false but believable data into organizational information systems."
"__export__.adversarial_threat_events_144_ee64ddc5","Adversary induces (e.g., via social engineering) authorized users to inadvertently expose, disclose, or mishandle critical/sensitive information","Cause disclosure of critical and/or sensitive information  by authorized users."
"__export__.adversarial_threat_events_145_313bfc97","Adversary contaminates organizational information systems (including devices and networks) by causing them to handle information of a classification/sensitivity for which they have not been authorized. The information is exposed to individuals who are not authorized access to such information, and the information system, device, or network is unavailable while the spill is investigated and mitigated. ","Cause unauthorized disclosure and/or unavailability by  spilling sensitive information."
"__export__.adversarial_threat_events_146_e31cc57b","Adversary intercepts organizational communications over wireless networks. Examples include targeting public wireless access or hotel networking connections, and drive-by subversion of home or organizational wireless routers.","Obtain information by externally located interception of  wireless network traffic."
"__export__.adversarial_threat_events_147_f77dc4f6","Adversary with authorized access to organizational information systems, gains access to resources that exceeds authorization. ","Obtain unauthorized access."
"__export__.adversarial_threat_events_148_2cb56b5f","Adversary scans or mines information on publically accessible servers and web pages of organizations with the intent of finding sensitive information.","Obtain sensitive data/information from publicly  accessible information systems"
"__export__.adversarial_threat_events_149_34da5e63","Adversary steals information systems or components (e. g., laptop computers or data storage media) that are left unattended outside of the physical perimeters of organizations, or scavenges discarded components. ","Obtain information by opportunistically stealing or  scavenging information systems/components"
"__export__.adversarial_threat_events_150_2e63d9a5","Adversary takes actions to inhibit the effectiveness of the intrusion detection systems or auditing capabilities within organizations.","Obfuscate adversary actions"
"__export__.adversarial_threat_events_151_d5a7599b","Adversary adapts behavior in response to surveillance and organizational security measures","Adapt cyber attacks based on detailed surveillance"
"__export__.adversarial_threat_events_152_96a32667","Adversary moves the source of malicious commands or actions from one compromised information system to another, making analysis difficult. ","Coordinate a campaign of multi-staged attacks (e.g.,  hopping)"
"__export__.adversarial_threat_events_153_9386a356","Adversary combines attacks that require both physical presence within organizational facilities and cyber methods to achieve success. Physical attack steps may be as simple as convincing maintenance personnel to leave doors or cabinets open","Coordinate a campaign that combines internal and  external attacks across multiple information systems and  information technologies."
