"id","name","description","compliance_control_ids/name","compliance_control_ids/description","compliance_control_ids/id","compliance_version_id/id"
"","","","1.2 Network security controls (NSCs) are configured and maintained.","<ul style=""margin-bottom: 0px;""><li>1.2.1 Configuration standards for NSC rulesets are: Defined. Implemented. Maintained.&nbsp;</li><li>1.2.2 All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.&nbsp;</li><li>1.2.3 An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.&nbsp;</li><li>1.2.4 An accurate data-flow diagram(s) is maintained that meets the following: Shows all account data flows across systems and networks. Updated as needed upon changes to the environment.&nbsp;</li><li>1.2.5 All services, protocols, and ports allowed are identified, approved, and have a defined business need.&nbsp;</li><li>1.2.6 Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.&nbsp;</li><li>1.2.7 Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective&nbsp;</li><li>1.2.8 Configuration files for NSCs are: Secured from unauthorized access. Kept consistent with active network configurations.</li></ul>","__export__.compliance_control_152_e178ece1",""
"","","","1.3 Network access to and from the cardholder data environment is restricted.","<ul style=""margin-bottom: 0px;""><li>1.3.1 Inbound traffic to the CDE is restricted as follows: To only traffic that is necessary. All other traffic is specifically denied.&nbsp;</li><li>1.3.2 Outbound traffic from the CDE is restricted as follows: To only traffic that is necessary. All other traffic is specifically denied&nbsp;</li><li>1.3.3 NSCs are installed between all wireless networks and the CDE, regardless of whether the wireless network is a CDE, such that: All wireless traffic from wireless networks into the CDE is denied by default. Only wireless traffic with an authorized business purpose is allowed into the CDE.</li></ul>","__export__.compliance_control_153_610a222e",""
"","","","1.4 Network connections between trusted and untrusted networks are controlled.","<ul style=""margin-bottom: 0px;""><li>1.4.1 NSCs are implemented between trusted and untrusted networks.&nbsp;</li><li>1.4.2 Inbound traffic from untrusted networks to trusted networks is restricted to: 
Communications with system components that are authorized to provide publicly accessible services, protocols, and ports.
Stateful responses to communications initiated by system components in a trusted network.
All other traffic is denied.&nbsp;</li><li>1.4.3 Anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.&nbsp;</li><li>1.4.4 System components that store cardholder data are not directly accessible from untrusted networks.&nbsp;</li><li>1.4.5 The disclosure of internal IP addresses and routing information is limited to only authorized parties.</li></ul>","__export__.compliance_control_154_fdbf2bef",""
"","","","1.5 Risks to the CDE from computing devices that are able to connect to both untrusted networks and the CDE are mitigated.","<ul style=""margin-bottom: 0px;""><li>1.5.1 Security controls are implemented on any computing devices, including company- and employee-owned devices, that connect to both untrusted networks (including the Internet) and the CDE as follows:
Specific configuration settings are defined to prevent threats being introduced into the entity’s network. 
Security controls are actively running.
Security controls are not alterable by users of the computing devices unless specifically documented and authorized by management on a case-by-case basis for a limited period.</li></ul>","__export__.compliance_control_155_9ef7b77a",""
"__export__.compliance_control_objective_33_68cb0415","Requirement 2: Apply Secure Configurations to All System Components","<p style=""margin-bottom: 0px;"">Malicious individuals, both external and internal to an entity, often use default passwords and other vendor default settings to compromise systems. These passwords and settings are well known and are easily determined via public information.
Applying secure configurations to system components reduces the means available to an attacker to compromise the system. Changing default passwords, removing unnecessary software, functions, and accounts, and disabling or removing unnecessary services all help to reduce the potential attack surface. </p>","2.1 Processes and mechanisms for applying secure configurations to all system components are defined and understood.","<ul style=""margin-bottom: 0px;""><li>2.1.1 All security policies and operational procedures that are identified in Requirement 2 are: 
Documented.
Kept up to date.
In use.
Known to all affected parties.&nbsp;</li><li>2.1.2 Roles and responsibilities for performing activities in Requirement 2 are documented, assigned, and understood.</li></ul>","__export__.compliance_control_156_63ca3029","__export__.compliance_version_3_d4327a3a"
"","","","2.2 System components are configured and managed securely.","<ul style=""margin-bottom: 0px;""><li>2.2.1 Configuration standards are developed, implemented, and maintained to:
Cover all system components.
Address all known security vulnerabilities. 
Be consistent with industry-accepted system hardening standards or vendor hardening recommendations. 
Be updated as new vulnerability issues are identified, as defined in Requirement 6.3.1.
Be applied when new systems are configured and verified as in place before or immediately after a system component is connected to a production environment.&nbsp;</li><li>2.2.2 Vendor default accounts are managed as follows:
If the vendor default account(s) will be used, the default password is changed per Requirement 8.3.6.
If the vendor default account(s) will not be used, the account is removed or disabled.&nbsp;</li><li>2.2.3 Primary functions requiring different security levels are managed as follows: 
Only one primary function exists on a system component,
OR
Primary functions with differing security levels that exist on the same system component are isolated from each other,
OR
Primary functions with differing security levels on the same system component are all secured to the level required by the function with the highest security need.&nbsp;</li><li>2.2.4 Only necessary services, protocols, daemons, and functions are enabled, and all unnecessary functionality is removed or disabled.&nbsp;</li><li>2.2.5 If any insecure services, protocols, or daemons are present: 
Business justification is documented.
Additional security features are documented and implemented that reduce the risk of using insecure services, protocols, or daemons.&nbsp;</li><li>2.2.6 System security parameters are configured to prevent misuse.&nbsp;</li><li>2.2.7 All non-console administrative access is encrypted using strong cryptography.</li></ul>","__export__.compliance_control_157_e1b4307f",""
"","","","2.3 Wireless environments are configured and managed securely.","<ul style=""margin-bottom: 0px;""><li>2.3.1 For wireless environments connected to the CDE or transmitting account data, all wireless vendor defaults are changed at installation or are confirmed to be secure, including but not limited to:
Default wireless encryption keys.
Passwords on wireless access points.
SNMP defaults.
Any other security-related wireless vendor defaults.&nbsp;</li><li>2.3.2 For wireless environments connected to the CDE or transmitting account data, wireless encryption keys are changed as follows: 
Whenever personnel with knowledge of the key leave the company or the role for which the knowledge was necessary.
Whenever a key is suspected of or known to be compromised.</li></ul>","__export__.compliance_control_158_ef2067b9",""
"__export__.compliance_control_objective_34_d2dcbe51","Requirement 3: Protect Stored Account Data","<p style=""margin-bottom: 0px;"">Protection methods such as encryption, truncation, masking, and hashing are critical components of account data protection. If an intruder 
circumvents other security controls and gains access to encrypted account data, the data is unreadable without the proper cryptographic keys and is unusable to that intruder. Other effective methods of protecting stored data should also be considered as potential risk-mitigation opportunities. For example, methods for minimizing risk include not storing account data unless necessary, truncating cardholder data if full PAN is not needed, and not sending unprotected PANs using end-user messaging technologies such as e-mail and instant messaging.
If account data is present in non-persistent memory (for example, RAM, volatile memory), encryption of account data is not required. However, proper controls must be in place to ensure that memory maintains a non-persistent state. Data should be removed from volatile memory once the business purpose (for example, the associated transaction) is complete. In the case that data storage becomes persistent, all applicable PCI DSS Requirements will apply including encryption of stored data. 
Requirement 3 applies to protection of stored account data unless specifically called out in an individual requirement.</p>","3.1 Processes and mechanisms for protecting stored account data are defined and understood.","<ul style=""margin-bottom: 0px;""><li>3.1.1 All security policies and operational procedures that are identified in Requirement 3 are: 
Documented.
Kept up to date.
In use.
Known to all affected parties.&nbsp;</li><li>3.1.2 Roles and responsibilities for performing activities in Requirement 3 are documented, 
assigned, and understood.</li></ul>","__export__.compliance_control_137_c5815e91","__export__.compliance_version_3_d4327a3a"
"","","","3.2 Storage of account data is kept to a minimum.","<ul style=""margin-bottom: 0px;""><li>3.2.1 Account data storage is kept to a minimum through implementation of data retention and disposal policies, procedures, and processes that include at least the following:
Coverage for all locations of stored account data.
Coverage for any sensitive authentication data (SAD) stored prior to completion of authorization.This bullet is a best practice until its effective date; refer to Applicability Notes below for details.
Limiting data storage amount and retention time to that which is required for legal or regulatory, and/or business requirements. 
Specific retention requirements for stored account data that defines length of retention period and includes a documented business 
justification. 
Processes for secure deletion or rendering account data unrecoverable when no longer needed per the retention policy.
A process for verifying, at least once every three months, that stored account data exceeding the defined retention period has been securely deleted or rendered unrecoverable.</li></ul>","__export__.compliance_control_138_73719e30",""
"","","","3.3 Sensitive authentication data (SAD) is not stored after authorization.","<ul style=""margin-bottom: 0px;""><li>3.3.1 SAD is not retained after authorization, even if encrypted. All sensitive authentication data received is rendered unrecoverable upon completion of the authorization process.&nbsp;</li><li class=""oe-nested""><ul><li>3.3.1.1 The full contents of any track are not retained upon completion of the authorization process.&nbsp;</li><li>3.3.1.2 The card verification code is not retained upon completion of the authorization process.&nbsp;</li><li>3.3.1.3 The personal identification number (PIN) and the PIN block are not retained upon completion of the authorization process.&nbsp;</li></ul></li><li>3.3.2 SAD that is stored electronically prior to completion of authorization is encrypted using strong cryptography.&nbsp;</li><li>3.3.3 Additional requirement for issuers and companies that support issuing services and store sensitive authentication data: Any storage of sensitive authentication data is:
Limited to that which is needed for a legitimate issuing business need and is secured.
Encrypted using strong cryptography. This bullet is a best practice until its effective date; refer to Applicability Notes below for details.</li></ul>","__export__.compliance_control_139_99cb6768",""
"","","","3.4 Access to displays of full PAN and ability to copy PAN is restricted.","<ul style=""margin-bottom: 0px;""><li>3.4.1 PAN is masked when displayed (the BIN and last four digits are the maximum number of digits to be displayed), such that only personnel with a legitimate business need can see more than the BIN and last four digits of the PAN.</li><li>3.4.2 When using remote-access technologies, technical controls prevent copy and/or relocation of PAN for all personnel, except for those with documented, explicit authorization and a legitimate, defined business need.</li></ul>","__export__.compliance_control_140_97ed38da",""
"","","","3.5 Primary account number (PAN) is secured wherever it is stored.","<ul style=""margin-bottom: 0px;""><li>3.5.1 PAN is rendered unreadable anywhere it is stored by using any of the following approaches: 
One-way hashes based on strong cryptography of the entire PAN. 
Truncation (hashing cannot be used to replace the truncated segment of PAN).
    If hashed and truncated versions of the same PAN, or different truncation formats of the same PAN, are present in an 
    environment, additional controls are in place such that the different versions cannot be correlated to reconstruct the original PAN.
Index tokens.
Strong cryptography with associated key-management processes and procedures.</li><li class=""oe-nested""><ul><li>3.5.1.1 Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1) are keyed cryptographic hashes of the entire PAN, with associated key-management processes and procedures in accordance with Requirements 3.6 and 3.7.&nbsp;</li><li>3.5.1.2 If disk-level or partition-level encryption (rather than file-, column-, or field-level database encryption) is used to render PAN unreadable, it is implemented only as follows:
On removable electronic media
OR
If used for non-removable electronic media, PAN is also rendered unreadable via another mechanism that meets Requirement 3.5.1.</li><li>3.5.1.3 If disk-level or partition-level encryption is used (rather than file-, column-, or field--level database encryption) to render PAN unreadable, it is managed as follows:
Logical access is managed separately and independently of native operating system authentication and access control mechanisms. 
Decryption keys are not associated with user accounts. 
Authentication factors (passwords, passphrases, or cryptographic keys) that allow access to unencrypted data are stored securely.</li></ul></li></ul>","__export__.compliance_control_141_04bbb1a9",""
"","","","3.6 Cryptographic keys used to protect stored account data are secured.","<ul style=""margin-bottom: 0px;""><li>3.6.1 Procedures are defined and implemented to protect cryptographic keys used to protect stored account data against disclosure and misuse that include: 
Access to keys is restricted to the fewest number of custodians necessary. 
Key-encrypting keys are at least as strong as the data-encrypting keys they protect. 
Key-encrypting keys are stored separately from data-encrypting keys. 
Keys are stored securely in the fewest possible locations and forms.&nbsp;</li><li class=""oe-nested""><ul><li>3.6.1.1 Additional requirement for service providers only: A documented description of the cryptographic architecture is maintained that includes: 
Details of all algorithms, protocols, and keys used for the protection of stored account data, including key strength and expiry date. 
Preventing the use of the same cryptographic keys in production and test environments. This bullet is a best practice until its effective date; refer to Applicability Notes below for details.
Description of the key usage for each key. 
Inventory of any hardware security modules (HSMs), key management systems (KMS), and other secure cryptographic devices (SCDs) used for key management, including type and location of devices, as outlined in Requirement 12.3.4.&nbsp;</li><li>3.6.1.2 Secret and private keys used to encrypt/decrypt stored account data are stored in one (or more) of the following forms at all times: 
Encrypted with a key-encrypting key that is at least as strong as the data-encrypting key, and that is stored separately from the data encrypting key. 
Within a secure cryptographic device (SCD), such as a hardware security module (HSM) or PTS-approved point-of-interaction device. 
As at least two full-length key components or key shares, in accordance with an industry-accepted method.</li><li>&nbsp;3.6.1.3 Access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary.&nbsp;</li><li>3.6.1.4 Cryptographic keys are stored in the fewest possible locations.</li></ul></li></ul>","__export__.compliance_control_142_fa8574d7",""
"","","","3.7 Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are  defined and implemented.","<ul style=""margin-bottom: 0px;""><li>3.7.1 Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data.&nbsp;</li><li>3.7.2 Key-management policies and procedures are implemented to include secure distribution of cryptographic keys used to protect stored account data.&nbsp;</li><li>3.7.3 Key-management policies and procedures are implemented to include secure storage of cryptographic keys used to protect stored account data.&nbsp;</li><li>3.7.4 Key management policies and procedures are implemented for cryptographic key changes for keys that have reached the end of their cryptoperiod, as defined by the associated application vendor or key owner, and based on industry best practices and 
guidelines, including the following:
A defined cryptoperiod for each key type in use.
A process for key changes at the end of the defined cryptoperiod.&nbsp;</li><li>3.7.5 Key management policies procedures are implemented to include the retirement, replacement, or destruction of keys used to protect stored account data, as deemed necessary when: 
The key has reached the end of its defined cryptoperiod.
The integrity of the key has been weakened, including when personnel with knowledge of a cleartext key component leaves the company, or the role for which the key component was known.
The key is suspected of or known to be compromised. 
Retired or replaced keys are not used for encryption operations.&nbsp;</li><li>3.7.6 Where manual cleartext cryptographic key-management operations are performed by personnel, key-management policies and procedures are implemented include managing these operations using split knowledge and dual control.</li><li>3.7.7 Key management policies and procedures are implemented to include the prevention of unauthorized substitution of cryptographic keys.&nbsp;</li><li>3.7.8 Key management policies and procedures are implemented to include that cryptographic key custodians formally acknowledge (in writing or electronically) that they understand and accept their key-custodian responsibilities.&nbsp;</li><li>3.7.9 Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for 
transmission or storage of account data, guidance on secure transmission, storage and updating of such keys is documented and distributed to the service provider’s customers.</li></ul>","__export__.compliance_control_143_ece41c2f",""
"__export__.compliance_control_objective_35_24847bf9","Requirement 4: Protect Cardholder Data with Strong Cryptography During Transmission Over Open, Public  Networks","<p style=""margin-bottom: 0px;"">The use of strong cryptography provides greater assurance in preserving data confidentiality, integrity, and non-repudiation.
To protect against compromise, PAN must be encrypted during transmission over networks that are easily accessed by malicious individuals, including untrusted and public networks. Misconfigured wireless networks and vulnerabilities in legacy encryption and authentication protocols continue to be targeted by malicious individuals aiming to exploit these vulnerabilities to gain privileged access to cardholder data environments (CDE). Any transmissions of cardholder data over an entity’s internal network(s) will naturally bring that network into scope for PCI DSS since that network stores, processes, or transmits cardholder data. Any such networks must be evaluated and assessed against applicable PCI DSS 
requirements. 
Requirement 4 applies to transmissions of PAN unless specifically called out in an individual requirement. 
PAN transmissions can be protected by encrypting the data before it is transmitted, or by encrypting the session over which the data is transmitted, or both. While it is not required that strong cryptography be applied at both the data level and the session level, it is recommended.
Refer to Appendix G for definitions of “strong cryptography” and other PCI DSS terms.</p>","4.1 Processes and mechanisms for protecting cardholder data with strong cryptography during transmission over open, public networks are defined and  documented.","<ul style=""margin-bottom: 0px;""><li>4.1.1 All security policies and operational procedures that are identified in Requirement 4 are:
Documented.
Kept up to date.
In use.
Known to all affected parties.&nbsp;</li><li>4.1.2 Roles and responsibilities for performing activities in Requirement 4 are documented, assigned, and understood.</li></ul>","__export__.compliance_control_159_12f7d7e0","__export__.compliance_version_3_d4327a3a"
"","","","4.2 PAN is protected with strong cryptography during transmission.","<ul style=""margin-bottom: 0px;""><li>4.2.1 Strong cryptography and security protocols are implemented as follows to safeguard PAN during transmission over open, public networks:
Only trusted keys and certificates are accepted.
Certificates used to safeguard PAN during transmission over open, public networks are confirmed as valid and are not expired or 
revoked. This bullet is a best practice until its effective date; refer to applicability notes belowfor details.
The protocol in use supports only secure versions or configurations and does not support fallback to, or use of insecure versions, 
algorithms, key sizes, or implementations.
The encryption strength is appropriate for the encryption methodology in use.&nbsp;</li><li class=""oe-nested""><ul><li>4.2.1.1 An inventory of the entity’s trusted keys and certificates used to protect PAN during transmission is maintained.&nbsp;</li><li>4.2.1.2 Wireless networks transmitting PAN or connected to the CDE use industry best practices to implement strong cryptography for authentication and transmission.</li></ul></li><li>4.2.2 PAN is secured with strong cryptography whenever it is sent via end-user messaging technologies.</li></ul>","__export__.compliance_control_160_0b61d134",""
"__export__.compliance_control_objective_36_65d222d7","Requirement 5: Protect All Systems and Networks from Malicious Software","<p style=""margin-bottom: 0px;"">Malicious software (malware) is software or firmware designed to infiltrate or damage a computer system without the owner's knowledge or consent, with the intent of compromising the confidentiality, integrity, or availability of the owner’s data, applications, or operating system. 
Examples include viruses, worms, Trojans, spyware, ransomware, keyloggers, and rootkits, malicious code, scripts, and links. 
Malware can enter the network during many business-approved activities, including employee e-mail (for example, via phishing) and use of the Internet, mobile computers, and storage devices, resulting in the exploitation of system vulnerabilities.
Using anti-malware solutions that address all types of malware helps to protect systems from current and evolving malware threats.</p>","5.1 Processes and mechanisms for protecting all systems and networks from malicious software are defined and understood.","<ul style=""margin-bottom: 0px;""><li>5.1.1 All security policies and operational procedures that are identified in Requirement 5 are:
Documented.
Kept up to date.
In use.
Known to all affected parties.&nbsp;</li><li>5.1.2 Roles and responsibilities for performing activities in Requirement 5 are documented, assigned, and understood.</li></ul>","__export__.compliance_control_161_82d0a8cc","__export__.compliance_version_3_d4327a3a"
"","","","5.2 Malicious software (malware) is prevented, or detected and addressed.","<ul style=""margin-bottom: 0px;""><li>5.2.1 An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malware.&nbsp;</li><li>5.2.2 The deployed anti-malware solution(s):
Detects all known types of malware.
Removes, blocks, or contains all known types of malware.</li><li>5.2.3 Any system components that are not at risk for malware are evaluated periodically to include the following: 
A documented list of all system components not at risk for malware.
Identification and evaluation of evolving malware threats for those system components.
Confirmation whether such system components continue to not require anti-malware protection.&nbsp;</li><li class=""oe-nested""><ul><li>5.2.3.1 The frequency of periodic evaluations of system components identified as not at risk for malware is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.</li></ul></li></ul>","__export__.compliance_control_162_6912d770",""
"","","","5.3 Anti-malware mechanisms and processes are active, maintained, and monitored.","<ul style=""margin-bottom: 0px;""><li>5.3.1 The anti-malware solution(s) is kept current via automatic updates.&nbsp;</li><li>5.3.2 The anti-malware solution(s):
Performs periodic scans and active or real-time scans.
OR
Performs continuous behavioral analysis of systems or processes.&nbsp;</li><li class=""oe-nested""><ul><li>5.3.2.1 If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.&nbsp;</li></ul></li><li>5.3.3 For removable electronic media, the antimalware solution(s): 
Performs automatic scans of when the media is inserted, connected, or logically mounted,
OR
Performs continuous behavioral analysis of systems or processes when the media is inserted, connected, or logically mounted.&nbsp;</li><li>5.3.4 Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.&nbsp;</li><li>5.3.5 Anti-malware mechanisms cannot be disabled or altered by users, unless specifically documented, and authorized by management on a case-by-case basis for a limited time period.</li></ul>","__export__.compliance_control_163_52a7cfa0",""
"","","","5.4 Anti-phishing mechanisms protect users against phishing attacks.","<ul><li>5.4.1 Processes and automated mechanisms are in place to detect and protect personnel against phishing attacks.</li></ul>","__export__.compliance_control_164_322cb3cb",""
"__export__.compliance_control_objective_37_ccf753fe","Requirement 6: Develop and Maintain Secure Systems and Software","<p style=""margin-bottom: 0px;"">Actors with bad intentions can use security vulnerabilities to gain privileged access to systems. Many of these vulnerabilities are fixed by vendor provided security patches, which must be installed by the entities that manage the systems. All system components must have all appropriate 
software patches to protect against the exploitation and compromise of account data by malicious individuals and malicious software. 
Appropriate software patches are those patches that have been evaluated and tested sufficiently to determine that the patches do not conflict with existing security configurations. For bespoke and custom software, numerous vulnerabilities can be avoided by applying software lifecycle (SLC) processes and secure coding techniques. 
Code repositories that store application code, system configurations, or other configuration data that can impact the security of account data or the CDE are in scope for PCI DSS assessments.
See Relationship between PCI DSS and PCI SSC Software Standards on page 7 for information about the use of PCI SSC-validated software and software vendors, and how use of PCI SSC’s software standards may help with meeting controls in Requirement 6.</p>","6.1 Processes and mechanisms for developing and maintaining secure systems and software are defined and understood.","<ul style=""margin-bottom: 0px;""><li>6.1.1 All security policies and operational procedures that are identified in Requirement 6 are:
Documented.
Kept up to date.
In use.
Known to all affected parties.&nbsp;</li><li>6.1.2 Roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood.</li></ul>","__export__.compliance_control_165_ef5403c8","__export__.compliance_version_3_d4327a3a"
